wound,inference_time,transfer_file_size,donor_file_size,frontend_K_time,frontend_execution_time,frontend_save_time,backend_load_time,backend_execution_time,backend_result_time,frontend_time,backend_time,final_result_load_time,surgery_time
"[148, 152]",0.16762804985046387,502516,25,0.004343748092651367,0.8743553161621094,0.0031883716583251953,0.01071310043334961,0.21671605110168457,0.0015752315521240234,0.8775436878204346,0.2290043830871582,0.00013399124145507812,1.1066820621490479
"[149, 150]",0.16849279403686523,803576,25,0.004486083984375,0.8856620788574219,0.0022859573364257812,0.013686895370483398,0.21508288383483887,0.0015778541564941406,0.8879480361938477,0.2303476333618164,0.00010514259338378906,1.1184008121490479
"[149, 152]",0.1658947467803955,803574,25,0.004317045211791992,0.8928079605102539,0.003406047821044922,0.013822793960571289,0.20502591133117676,0.001600027084350586,0.8962140083312988,0.22044873237609863,0.00010204315185546875,1.116764783859253
"[151, 150]",0.1717691421508789,803574,25,0.004405975341796875,0.8609778881072998,0.003310680389404297,0.013803720474243164,0.20893526077270508,0.0015780925750732422,0.8642885684967041,0.22431707382202148,9.012222290039062e-05,1.088695764541626
"[151, 152]",0.1645970344543457,803572,25,0.004659175872802734,0.8594586849212646,0.0021660327911376953,0.013731002807617188,0.20872807502746582,0.0004992485046386719,0.8616247177124023,0.22295832633972168,9.083747863769531e-05,1.0846738815307617
[153],0.16486501693725586,401898,25,0.0027000904083251953,0.8897411823272705,0.0017769336700439453,0.007411956787109375,0.20670413970947266,0.0015919208526611328,0.8915181159973145,0.21570801734924316,9.703636169433594e-05,1.107323169708252
[154],0.16917109489440918,401912,25,0.004086017608642578,0.9479320049285889,0.0028569698333740234,0.0074520111083984375,0.210892915725708,0.0005228519439697266,0.9507889747619629,0.21886777877807617,9.202957153320312e-05,1.1697487831115723
[163],0.1667499542236328,401898,25,0.0027070045471191406,0.9252538681030273,0.002804994583129883,0.007426261901855469,0.1962599754333496,0.001605987548828125,0.9280588626861572,0.2052922248840332,0.00010609626770019531,1.1334571838378906
[164],0.1699838638305664,401912,25,0.0027163028717041016,0.9320199489593506,0.0016908645629882812,0.007422924041748047,0.20111489295959473,0.0005121231079101562,0.9337108135223389,0.20904994010925293,8.797645568847656e-05,1.1428487300872803
[173],0.1688239574432373,401898,25,0.002731800079345703,0.9825520515441895,0.0027098655700683594,0.006900787353515625,0.18428492546081543,0.0004971027374267578,0.9852619171142578,0.1916828155517578,0.0003688335418701172,1.1773135662078857
[174],0.17979693412780762,401912,25,0.0027170181274414062,0.9751849174499512,0.002652883529663086,0.0069539546966552734,0.19660496711730957,0.0004878044128417969,0.9778378009796143,0.20404672622680664,0.00010204315185546875,1.1819865703582764
[175],0.16401910781860352,8686,25,0.001734018325805664,0.8620829582214355,0.0021369457244873047,0.0020689964294433594,0.1479170322418213,0.0004458427429199219,0.8642199039459229,0.15043187141418457,0.0014338493347167969,1.0160856246948242
