wound,inference_time,transfer_file_size,frontend_execution_time,frontend_save_time,frontend_time
"[(41, 1), (47, 1)]",1.81642484664917,2007766,2.6926350593566895,0.1515660285949707,2.84420108795166
"[(42, 1), (45, 1)]",1.8202731609344482,2007782,2.61279034614563,0.18641185760498047,2.7992022037506104
"[(42, 1), (47, 1)]",1.7889060974121094,2007766,2.7382142543792725,0.18250751495361328,2.9207217693328857
"[(43, 1), (45, 1)]",1.8217670917510986,3212008,2.629002094268799,0.210235595703125,2.839237689971924
"[(43, 1), (47, 1)]",1.83390474319458,3211992,2.7288830280303955,0.2048497200012207,2.933732748031616
"[(44, 1), (45, 1)]",1.8357148170471191,3212006,2.67903995513916,0.2332630157470703,2.9123029708862305
"[(44, 1), (47, 1)]",1.8080039024353027,3211990,2.753321409225464,0.45916175842285156,3.2124831676483154
"[(46, 1), (45, 1)]",1.8122384548187256,3212004,2.7060351371765137,0.28475260734558105,2.9907877445220947
"[(46, 1), (47, 1)]",2.0870704650878906,3211988,3.938415765762329,0.24425911903381348,4.182674884796143
"[(80, 1), (87, 1)]",1.8268234729766846,1004262,3.945584535598755,0.31550097465515137,4.261085510253906
"[(80, 1), (89, 1)]",1.8306300640106201,1004246,4.112396001815796,0.11541914939880371,4.2278151512146
"[(81, 1), (87, 1)]",1.8102405071258545,1004262,3.9613282680511475,0.11039590835571289,4.07172417640686
"[(81, 1), (89, 1)]",1.8269083499908447,1004246,4.092391014099121,0.11350393295288086,4.205894947052002
"[(82, 1), (87, 1)]",1.8211145401000977,1004264,3.982924222946167,0.10587096214294434,4.088795185089111
"[(82, 1), (89, 1)]",2.0292818546295166,1004248,5.4054038524627686,0.10724854469299316,5.512652397155762
"[(83, 1), (87, 1)]",1.8277101516723633,1004262,3.9966835975646973,0.1167447566986084,4.113428354263306
"[(83, 1), (89, 1)]",1.805495262145996,1004246,4.094182968139648,0.12475442886352539,4.218937397003174
"[(84, 1), (87, 1)]",1.8179807662963867,1004262,4.02862024307251,0.1135714054107666,4.142191648483276
"[(84, 1), (89, 1)]",1.8311166763305664,1004246,4.10382080078125,0.11269378662109375,4.216514587402344
"[(85, 1), (87, 1)]",1.824004888534546,1606376,3.9598114490509033,0.1592121124267578,4.119023561477661
"[(85, 1), (89, 1)]",1.8150851726531982,1606360,4.042513132095337,0.318528413772583,4.36104154586792
"[(86, 1), (87, 1)]",1.8296589851379395,1606374,3.9877243041992188,0.15258145332336426,4.140305757522583
"[(86, 1), (89, 1)]",1.8008909225463867,1606358,4.078417062759399,0.19182944297790527,4.270246505737305
"[(88, 1), (87, 1)]",1.8159635066986084,1606372,4.270810127258301,0.18011951446533203,4.450929641723633
"[(88, 1), (89, 1)]",3.0640616416931152,1606356,4.056375980377197,0.14248871803283691,4.198864698410034
"[(142, 1), (149, 1)]",1.8067469596862793,502502,5.951952219009399,0.48248910903930664,6.434441328048706
"[(142, 1), (151, 1)]",1.8757426738739014,502488,6.043111801147461,0.08268284797668457,6.1257946491241455
"[(143, 1), (149, 1)]",1.8250668048858643,502502,5.946738004684448,0.066986083984375,6.013724088668823
"[(143, 1), (151, 1)]",1.8046092987060547,502488,6.101495981216431,0.07575297355651855,6.177248954772949
"[(144, 1), (149, 1)]",1.8295037746429443,502504,5.947295427322388,0.07709288597106934,6.024388313293457
"[(144, 1), (151, 1)]",2.599778413772583,502490,6.735575914382935,0.06654024124145508,6.80211615562439
"[(145, 1), (149, 1)]",1.7918646335601807,502502,5.920874118804932,0.3345329761505127,6.255407094955444
"[(145, 1), (151, 1)]",1.8062844276428223,502488,6.031884431838989,0.09217500686645508,6.124059438705444
"[(146, 1), (149, 1)]",1.8308687210083008,502502,5.94957971572876,0.08925867080688477,6.0388383865356445
"[(146, 1), (151, 1)]",1.828378677368164,502488,6.093091726303101,0.11356854438781738,6.206660270690918
